pos,corr_resp,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Fixation.started,line1.started,line2.started,line3.started,line4.started,Fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,probe.stopped,participant,session,date,expName,psychopyVersion,frameRate,,sequential rt,random rt,,,,
-50,x,0,0,0,0,0,0,0,0,,,,,12.2110622,13.1911878,13.1911878,13.1911878,13.1911878,13.2242193,14.1908585,14.1908585,x,1,0.6449632,None,,sushreesanjana,1,2023-10-16_14h51.24.232,sequential learning,2023.1.3,59.95153518,,0.265917,0.6449632,,,,
-150,z,0,0,0,0,0,1,1,3,,,,,14.8576659,15.8570862,15.8570862,15.8570862,15.8570862,15.8570862,16.8574161,16.8574161,z,1,0.5082279,None,,sushreesanjana,1,2023-10-16_14h51.24.232,sequential learning,2023.1.3,59.95153518,,0.4424281,0.5082279,,,,
50,c,0,0,0,0,0,2,2,2,,,,,17.3904569,18.3899606,18.3899606,18.3899606,18.3899606,18.3899606,19.390139,19.390139,c,1,0.552055,None,,sushreesanjana,1,2023-10-16_14h51.24.232,sequential learning,2023.1.3,59.95153518,,0.5354029,0.552055,,,,
50,c,0,0,0,0,0,3,3,2,,,,,19.9737696,20.9734697,20.9734697,20.9734697,20.9734697,20.9734697,21.9733789,21.9733789,c,1,0.4669075,None,,sushreesanjana,1,2023-10-16_14h51.24.232,sequential learning,2023.1.3,59.95153518,,0.2918907,0.4669075,,sequential rt,0.329092032,diffe rts
50,c,0,0,0,0,1,0,4,2,,,,,22.4730036,23.4728714,23.4728714,23.4728714,23.4728714,23.4728714,24.4727604,24.4727604,c,1,0.3741631,None,,sushreesanjana,1,2023-10-16_14h51.24.232,sequential learning,2023.1.3,59.95153518,,0.2610721,0.3741631,,random rt,0.447461755,-0.118369723
-50,x,0,0,0,0,1,1,5,0,,,,,24.8725509,25.8562467,25.8562467,25.8562467,25.8562467,25.8730012,26.8726602,26.8726602,x,1,0.3943276,None,,sushreesanjana,1,2023-10-16_14h51.24.232,sequential learning,2023.1.3,59.95153518,,0.2413126,0.3943276,,,,
150,v,0,0,0,0,1,2,6,1,,,,,27.2891302,28.2892491,28.2892491,28.2892491,28.2892491,28.2892491,29.2887299,29.2887299,v,1,0.411316,None,,sushreesanjana,1,2023-10-16_14h51.24.232,sequential learning,2023.1.3,59.95153518,,0.2866665,0.411316,,,,
150,v,0,0,0,0,1,3,7,1,,,,,29.7222673,30.7225457,30.7225457,30.7225457,30.7225457,30.7225457,31.7221688,31.7221688,v,1,0.3627233,None,,sushreesanjana,1,2023-10-16_14h51.24.232,sequential learning,2023.1.3,59.95153518,,0.294123,0.3627233,,,seqRT,ranRT
150,v,0,0,0,0,2,0,8,1,,,,,32.1052882,33.1052317,33.1052317,33.1052317,33.1052317,33.1052317,34.1049445,34.1049445,v,1,0.3796559,None,,sushreesanjana,1,2023-10-16_14h51.24.232,sequential learning,2023.1.3,59.95153518,,0.3024086,0.3796559,,bin ,,
-150,z,0,0,0,0,2,1,9,3,,,,,34.5048392,35.5048397,35.5048397,35.5048397,35.5048397,35.5048397,36.5045905,36.5045905,z,1,0.3766378,None,,sushreesanjana,1,2023-10-16_14h51.24.232,sequential learning,2023.1.3,59.95153518,,0.2505342,0.3766378,,1,0.329035884,0.457128249
50,c,0,0,0,0,2,2,10,2,,,,,36.9046653,37.9042321,37.9042321,37.9042321,37.9042321,37.9042321,38.9041858,38.9041858,c,1,0.4550644,None,,sushreesanjana,1,2023-10-16_14h51.24.232,sequential learning,2023.1.3,59.95153518,,0.2838181,0.4550644,,2,0.402158064,0.427216912
50,c,0,0,0,0,2,3,11,2,,,,,39.3875473,40.3875861,40.3875861,40.3875861,40.3875861,40.3875861,41.3875091,41.3875091,c,1,0.4383405,None,,sushreesanjana,1,2023-10-16_14h51.24.232,sequential learning,2023.1.3,59.95153518,,0.2893744,0.4383405,,3,0.283120112,0.432768488
150,v,0,0,0,0,3,0,12,1,,,,,41.8540857,42.8539864,42.8539864,42.8539864,42.8539864,42.8539864,43.8538145,43.8538145,v,1,0.3463682,None,,sushreesanjana,1,2023-10-16_14h51.24.232,sequential learning,2023.1.3,59.95153518,,0.5826199,0.3463682,,4,0.296247577,0.47398774
-50,x,0,0,0,0,3,1,13,0,,,,,44.2201275,45.2203538,45.2203538,45.2203538,45.2203538,45.2203538,46.2200657,46.2200657,x,1,0.466675,None,,sushreesanjana,1,2023-10-16_14h51.24.232,sequential learning,2023.1.3,59.95153518,,0.2863591,0.466675,,,,
-50,x,0,0,0,0,3,2,14,0,,,,,46.7199148,47.7034149,47.7034149,47.7034149,47.7034149,47.7200717,48.7200127,48.7200127,x,1,0.4708053,None,,sushreesanjana,1,2023-10-16_14h51.24.232,sequential learning,2023.1.3,59.95153518,,0.2470604,0.4708053,,,,
